,SKU,price,note,category,brand,platform
60,"XTRA Combo 20GB+40GB, Double Youtube, 30hr",179000,"20GB Kuota Utama + 40GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 60 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
61,"XTRA Combo VIP 20GB+40GB, Double Youtube, 30hr",189000,,Paket Data,Xl,mitra bukalapak
63,"XTRA Combo VIP 20GB+40GB, Double Youtube, 30hr",189000,"20GB Kuota Utama + 40GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 60 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
64,Internet Umroh &amp; Haji 2GB+2GB,189000,2GB Kuota Utama untuk di Indonesia + 2GB Kuota Utama untuk di Arab Saudi. Masa aktif 45 hari. Syarat &amp; ketentuan lebih lengkap di xl.co.id/umrohhaji,Paket Data,Xl,mitra bukalapak
65,"Akrab L, 3 Anggota, 30hr",205000,45GB Kuota Bersama + Bonus Kuota Pribadi hingga 33GB per Anggota + Unlimited Kuota Aplikai + Unlimited Nelpon &amp; SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,Paket Data,Xl,mitra bukalapak
67,"XTRA Combo 35GB+70GB, Double Youtube, 30hr",239000,"35GB Kuota Utama + 70GB Kuota Youtube (00:24 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 90 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota (Max. 1GB) dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
68,"XTRA Combo VIP 35GB+70GB, Double Youtube, 30hr",249000,"35GB Kuota Utama + 70GB Kuota Youtube (00:00 - 24:00) + Unlimited Kuota Youtube (01:00 - 06:00) + 90 Menit Nelpon ke Semua Operator. Masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",Paket Data,Xl,mitra bukalapak
69,"Akrab XL, 4 Anggota, 30hr",320000,,Paket Data,Xl,mitra bukalapak
71,"Akrab XL, 4 Anggota, 30hr",320000,80GB Kuota Bersama + Bonus Kuota Pribadi hingga 45GB per Anggota + Unlimited Kuota Aplikasi + Unlimited Nelpon &amp; SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,Paket Data,Xl,mitra bukalapak
72,Internet Umroh &amp; Haji 5GB+5GB,469000,5GB Kuota Utama untuk di Indonesia + 5GB Kuota Utama untuk di Arab Saudi. Masa aktif 45 hari. Syarat &amp; ketentuan lebih lengkap di xl.co.id/umrohhaji,Paket Data,Xl,mitra bukalapak
73,"Akrab XXL, 4 Anggota, 30hr",515000,160GB Kuota Bersama + Bonus Kuota Pribadi hingga 75GB per Anggota + Unlimited Kuota Aplikasi+ Unlimited Nelpon &amp; SMS ke XL/AXIS. Cek Kuota Pribadi di areamu xl.co.id/akrab,Paket Data,Xl,mitra bukalapak
74,Internet Umroh &amp; Haji 25GB+25GB,999000,,Paket Data,Xl,mitra bukalapak
76,Internet Umroh &amp; Haji 25GB+25GB,999000,25GB Kuota Utama untuk di Indonesia + 25GB Kuota Utama untuk di Arab Saudi. Masa aktif 60 hari. Syarat &amp; ketentuan lebih lengkap di xl.co.id/umrohhaji,Paket Data,Xl,mitra bukalapak
77,"Xtra Conference 2GB, 1hr",2938,"Kuota utama 2GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Dapat digunakan untuk apps Microsoft Teams, Zoom, Google Meet, Google Hangout, Google Classroom, Masa aktif 1 hari",Paket Data,Xl,mitra bukalapak
78,"Xtra Conference 5GB, 3hr",4938,"Kuota utama 5GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Dapat digunakan untuk apps Microsoft Teams, Zoom, Google Meet, Google Hangout, Google Classroom, Masa aktif 3 hari",Paket Data,Xl,mitra bukalapak
79,"Xtra Conference 15GB, 7hr",11874,,Paket Data,Xl,mitra bukalapak
81,"Xtra Conference 15GB, 7hr",11874,"Kuota utama 15GB, Dapat digunakan di jaringan 2G/3G/4G dari jam 00.00-24.00 WIB, Dapat digunakan untuk apps Microsoft Teams, Zoom, Google Meet, Google Hangout, Google Classroom, Masa aktif 7 hari",Paket Data,Xl,mitra bukalapak
82,"AnyNet 400Mnt, 7hr",11750,Paket AnyNet 400 Menit. Masa aktif 7 hari.,Paket Data,Xl,mitra bukalapak
83,HotRod 24 Jam 800MB,29900,Kuota Utama 800MB (2G/3G/4G). Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
84,"XTRA Bicara Nelpon+Internet, 30hr",29400,Paket XTRA Bicara Nelpon dan Internet. Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
88,"XTRA Bicara Nelpon,SMS,Internet, 30hr",34300,"Paket XTRA Bicara Nelpon, SMS dan Internet. Masa aktif 30 hari.",Paket Data,Xl,mitra bukalapak
89,"AnyNet 150Mnt, 30hr",39200,Paket AnyNet 150 Menit. Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
